Substance,EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CO2,ABW,Aruba,1.38624924,1.3776783,1.594509866,1.653805861,1.471866374,1.733328795,1.585202665,1.744450205,1.774655732,1.681062186,1.698795987,1.710106776,1.538027559,1.578514778,1.826508594,1.778965907,1.7598861,1.852034266,6.920009336,8.473765328,8.444982756,9.601112677,10.55415985,9.535906616,9.878694954,10.14207324,6.54374541,9.732647029,9.542670494,9.877208494,10.38318192,10.4344317,10.40063853,13.1951743,13.46439694,13.68536471,13.19699987,13.44981518,12.63669749,13.59320726,13.10522161,12.41183481,15.77781276,15.39621306,15.56653039,15.40984814,15.06023117,12.49675039,12.75285672,13.07983524,10.75117405,11.90779307
CO2,AFG,Afghanistan,0.156347809,0.152202975,0.146371215,0.144898768,0.178432106,0.161841035,0.147963467,0.175156184,0.146608782,0.15527601,0.152189511,0.173823029,0.181902926,0.242958145,0.268080134,0.350346505,0.340546647,0.284667134,0.268473927,0.246815301,0.237604535,0.213864403,0.121327025,0.107754575,0.096179541,0.080723868,0.075920727,0.072743705,0.071439341,0.067283103,0.053730038,0.047372926,0.044822041,0.046324595,0.039688879,0.052496942,0.056817814,0.076893094,0.149057969,0.238032718,0.280740234,0.401193535,0.333520012,0.267372465,0.244712439,0.247857619,0.220334556,0.229249421,0.250376743,0.21722492,0.215050074,0.21451583
CO2,AGO,Angola,1.321143427,1.232564643,1.464237963,1.562567161,1.583251567,1.422772787,0.926133987,1.482940463,1.699973611,1.643735439,1.606068605,1.433906992,1.335325128,1.3342599,1.302868457,1.332900862,1.308441588,1.297397115,1.303219817,1.282484654,0.928257788,0.944049878,0.94047529,0.911214911,0.8357827,0.913847409,1.074295282,1.093550245,1.105374341,1.13696627,1.010579516,0.959443431,0.9125932,0.958623558,0.944356437,0.817095657,0.825907754,0.821382453,0.896211908,0.945580016,0.983082692,0.98538462,0.963765168,1.070159409,1.129542329,1.169955097,1.065183337,0.877306842,0.781453797,0.796726438,0.702335339,0.721368301
CO2,AIA,Anguilla,0.338636843,0.336122255,0.348216118,0.321684472,0.356316105,0.389806982,0.365537124,0.379402559,0.4324957,0.478625157,0.658405757,0.998462099,1.065399625,0.931165427,0.885399233,0.551009532,0.458857618,0.851407342,0.765409652,0.77193947,0.733672241,0.874618036,0.879961657,1.074055265,1.376876363,1.672685679,1.611984908,1.316485681,1.180201354,1.088745706,1.403029242,1.399116999,0.928747473,1.173597682,1.091813769,1.080995127,0.992981741,0.939523127,1.142850089,1.486248277,1.743372513,1.864243055,1.841830814,1.954018602,1.929321577,1.916735754,1.919525934,1.949322227,1.875905235,1.817582255,1.490511523,1.693914681
CO2,AIR,International Aviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2,ALB,Albania,2.23868497,2.186540808,2.439749126,2.142180905,2.255601364,2.24550874,2.347781932,2.461473212,2.65178795,3.017767135,3.007573546,2.583689419,2.607508784,2.73935863,2.903018118,2.71935416,2.678961341,2.656814515,2.563830409,2.426730015,2.027462771,1.354729588,0.746725241,0.713197545,0.760098076,0.679774872,0.679570734,0.526561335,0.63003357,1.004521876,1.048563392,1.115287968,1.295759019,1.364827001,1.436842511,1.368349465,1.366628112,1.416580603,1.417057459,1.463002221,1.570105212,1.713501383,1.566529269,1.648296639,1.757988291,1.681673219,1.578590236,1.824770826,1.811292391,1.714732571,1.599886479,1.559481772
CO2,ANT,Curaçao,101.080206,99.82054997,95.93769455,105.0445362,94.37847445,67.88086335,72.23137397,73.38017913,62.2765476,61.94791383,58.65527056,54.28204074,49.05052994,45.67449471,44.56990525,29.94042984,28.6574187,26.57657366,23.34015996,20.09342904,18.20224001,18.93601317,19.77148114,16.26348579,18.39118498,18.59352915,19.04353497,38.01881683,40.03161318,40.56948682,42.92821872,43.81679379,42.4024354,42.79664607,44.64149223,46.61834226,45.02653755,47.61323645,45.70032235,41.59486988,30.04580873,37.74289746,33.53808546,30.24949463,33.59672671,33.61486176,28.54746642,22.54575884,17.80588982,13.59926451,11.19963973,12.41051265
CO2,ARE,United Arab Emirates,82.53777776,91.11685358,83.29955678,90.15244073,76.31265704,66.10260812,70.39060322,61.26828739,61.69482404,39.76103499,39.44884028,33.94374254,32.00328096,29.37106237,37.92053763,37.26174795,34.13424674,33.37492144,30.8054766,32.4318545,30.58936439,32.85730788,29.96649479,29.86720869,31.17207237,31.61990323,31.47612337,31.23691288,30.48586625,29.85589007,28.05812644,30.46799567,29.54280223,29.10738061,28.16262154,26.76603698,24.29041941,22.71733469,23.84582053,21.58920528,20.81120118,20.34240712,20.90402986,21.71922755,21.74398795,22.69921521,22.93087528,22.20029559,19.6944677,20.58325165,19.29427742,19.47337626
CO2,ARG,Argentina,3.684171383,3.64293044,3.660443626,3.716216834,3.665004616,3.506788824,3.62687934,3.722946864,3.641668486,3.790643241,3.645159167,3.476383123,3.394343722,3.454322592,3.386044297,3.111225046,3.303131004,3.434947351,3.504813455,3.346949976,3.075636409,3.193611005,3.219417298,3.28737949,3.353123222,3.372036986,3.639651256,3.72281131,3.865920977,3.889259738,3.762519199,3.571140485,3.322503792,3.64833072,3.999946111,4.053731421,4.248675663,4.444328194,4.539505529,4.136810468,4.389340432,4.560717927,4.555567913,4.658011953,4.558999455,4.592986871,4.501596747,4.387919594,4.297158448,4.061309645,3.776351198,4.116435673
CO2,ARM,Armenia,4.309559011,4.213269655,4.416475123,4.700027315,4.971067445,5.351510262,5.417868494,5.516346965,5.620389065,5.740738834,6.003748319,6.035235692,6.109643629,6.05454175,5.997234634,5.978322928,5.921493652,5.893059414,5.812835809,5.663662386,5.850909014,6.151302018,3.196494716,1.540262595,0.878279223,1.124781362,0.844585909,1.095546722,1.146160168,1.035845351,1.193469168,1.222803224,1.054299068,1.183677937,1.278991021,1.525075978,1.549836107,1.807014627,1.995103279,1.614515311,1.553635264,1.773095078,2.039547413,1.923291235,1.911890115,1.856211884,1.763969832,1.86112204,1.967002981,2.131103811,2.169962306,2.302654252
CO2,ATG,Antigua and Barbuda,4.710071402,4.634697873,5.39503759,5.514516026,4.844858121,5.753337937,5.197869405,5.684242071,5.737199943,5.394596628,5.488376721,4.907496388,6.179354366,3.915953242,5.134397506,5.123926818,5.192488404,6.805292468,6.964276619,6.365493413,6.414610701,6.702356935,6.957038666,6.350175412,6.50637519,6.482755915,6.358709669,6.030419946,5.941721631,6.129289767,5.899754931,5.769976278,6.19002237,8.119140768,8.216849514,7.980701521,8.018659539,8.174247703,8.126361442,8.968232837,9.050020069,10.27621028,10.97040255,10.88983414,11.1224907,10.83455812,10.85378152,7.657055935,8.282135561,8.133968542,6.647893088,7.338407585
CO2,AUS,Australia,12.57722738,12.45084365,12.69680317,13.23459265,13.73075197,14.054015,14.08986593,14.87197833,14.45183646,14.68933208,15.208187,15.08200567,15.29720356,14.32195794,14.48447053,15.17724578,14.96198714,15.40125851,15.68056874,16.36928882,16.32552222,16.22355943,16.21737873,16.26437624,16.39171131,16.77424647,17.17183966,17.47972938,18.41663442,18.50276356,18.60823154,18.75473445,18.98517329,18.72410314,19.17632183,19.09128766,19.07809294,19.24186124,19.06204645,18.98574178,18.45501493,18.05762706,17.78245225,17.21769245,16.61138884,16.64309238,16.77696067,16.73143874,16.42108757,16.21291559,14.83487336,14.31488881
